アビエイト	Abiate
勇牛	Brave Oxen
バドハイム密林	Buddheim Jungle
ブンガム	Bungam Eastern
カドナー	Cadner
カイン	Cain
カンバリー	Camberley
カペラ	Capella Emerada Lugunica
カリヨン	Carillon
カルラン	Carlan Astrea
カーミラ	Carmilla
カルナッツ	Carnattse
肉食獣	Carnivorous Beast
キャロル	Carol Remendis
カジレス	Casilles Astrea
カスツール平原	Castour Field
猫人	Cat Humans
セシルス	Cecilus Segmunt
人馬人	Centaur People
チャモフ	Chamov
カオスフレーム	Chaosflame
チャップ	Chap
チシャ	Chisha Gold
チェロリ	Chorry
チュデン	Chuden Agri
チュデン商会	Chuden Company
クラリッサ	Clarissa
クリンド	Clind
雲切	Cloud Cutting
コアトル	Coatl
コーフ	Coff
カッフルトン	Coffleton
コレット	Colette
コリン	Colin Lavril
崩落	Collapse
商業組合	Commerce Guild
圧搾屋	Compactor
屍都攻略	Conquest of the Undead Capital
契約	Contract
コンウッド	Conwood Melahau
コルニアス	Corneas
記憶の回廊	Corridor of Memories
コスツール	Costuul
十人会	Council of Ten
賢人会	Council of Wise Men
連環竜車	Coupled Dragon Carriages
盟約	Covenant
クラグレル	Cragrell Dawson
クラグレル移動林	Cragrell Moving Forest
クラムリン	Cramlin
クレイン	Crane Donahue
紅猟団	Crimson Hunting Party
クロムウェル	Cromwell
弩弓	Crossbow
クルシュ陣営	Crusch Camp
クルシュ	Crusch Karsten
結晶灯	Crystal Lamp
水晶宮	Crystal Palace
呪い	Curse
呪具	Curse Tools
呪い師	Curse User
単眼族	Cyclops Tribe
ダイン	Dain
ダンドン	Dandon
ダフネ	Daphne
ダーツ	Dartz
暁旅団	Dawn Brigade
ドーソン	Dawson
鹿人	Deer Humans
亜獣	Demi-Beast
亜人	Demi-Human
亜人連合	Demi-Human Alliance
亜人戦争	Demi-Human War
悪魔	Demon
鬼包丁	Demon Cleavers
ディアドラ	Diadora Regundra
ディアルモ	Dialmo
ダイアナ種	Diana
ダイアナ	Diana
ディアス	Dias Fatsbalm
ディドリー	Didorii
神龍教会	Divine Dragon Church
神龍儀	Divine Dragon Ritual
加護	Divine Protection
犬人	Dog Humans
ドルテロ	Doltero Amule
ドナヒュー	Donahue
ドルケル	Dorkell
ドロテア	Dorothea Featherrun
ドラクロイ	Dracroy
沈む夕日に裏切られたドラフィン	Draffin Betrayed by the Sunset
竜車	Dragon Carriage
竜歴石	Dragon History Stone
竜珠	Dragon Jewel
ルグニカ王国	Dragon Kingdom of Lugunica
竜の巫女	Dragon Maiden
竜船	Dragon Ship
親竜報文	Dragon Times
龍の血	Dragon's Blood
竜殻	Dragonhusk
竜人	Dragonkin
龍	Dragons
夢法	Dream Arts
夢幻術師	Dream Arts User
ディリステイ	Drisstay
ドライゼン	Drizen Vollachia
ダドリー	Dudley Miload
ダンクルケン	Dunkelkenn
小人族	Dwarf Tribe
ダイナス	Dynas Trussardi
地竜	Earth Dragon
土蜘蛛	Earth Spider
イースタン	Eastern
エキドナ	Echidna
エッダ	Edda Rayfast
エディッツ	Edditz
エドモン	Edmon Quayle
エレマンソ	Elemanso
エレメント	Element
エルフ	Elf
エリオール	Elior
エリオール大森林	Elior Forest
エイリーク種	Eliq
エルマート	Elmart
エルザ	Elsa Granhiert
エメラダ	Emerada
エミリア	Emilia
エミリア陣営	Emilia Camp
魔剣	Enchanted Swords
エンデュミオン	Endymion
襟ドナ	Eridna
エッシャルト	Eschart
エターニャ	Eternia
ユーガルド	Eugard Vollachia
常闇	Everlasting Darkness
魔眼族	Evil Eye Tribe
貪欲の魔眼	Evil Eye of Avarice
人誑しの魔眼	Evil Eye of Bewitchment
傲慢の魔眼	Evil Eye of Pride
虚飾の魔眼	Evil Eye of Vainglory
魔眼	Evil Eyes
封魔石の祠	Evil Sealing Stone Shrine
封魔石	Evil Sealing Stones
マナ過剰循環体質	Excess Mana Circulation Constitution
爆裂術式	Explosion Technique
エッゾ	Ezzo Cadner
発勁	Fa Jin
ファブレス	Fabless
ファロー	Falo
ファング	Fang
ファネルの実	Fannel Fruit
ファラダー	Faradar
ファリド	Fareed Impusen
ファルセイル	Farsale Lugunica
ファッツバルム	Fatsbalm
ファウスト	Faust
ファウゼン	Fauzen
フェザーラン	Featherrun
フェザーラン邸	Featherrun Mansion
フェザーランの姉妹	Featherrun Sisters
フェリックス	Felix Argyle
フェロー	Fellow
フェルト	Felt
フェルト陣営	Felt Camp
フェネ	Fenne
フエルミ	Fermi
フェリス	Ferris
フィルオーレ	Filore
フィルオーレ陣営	Filore Camp
指先	Fingers
フィッツ	Fitts
フラム	Flam Remendis
フランダース	Flanders
フランナ種	Flanna
フルール	Fleur
フロップ	Flop O'Connell
流法	Flow Method
華獄園	Flower Prison Garden
フワフワ	Fluffy
フリューゲル	Flugel
フリューゲルの大樹	Flugel's Tree
飛竜	Flying Dragon
飛竜災害	Flying Dragon Cataclysm
飛竜乗り	Flying Dragon Riders
飛竜隊	Flying Dragon Squadron
飛翼刃	Flying Winged Blade
フォッグ	Fogg
フォンダルフォン	Fondalfon
禁術	Forbidden Arts
フォルド	Ford Lugunica
エルフの森	Forest of the Elves
フォルトナ	Fortuna
四大国	Four Great Nations
大いなる四つの災い	Four Mass-Scale Disasters
フーリエ	Fourier Lugunica
フォートル平原	Foutour Plains
狐人	Fox Humans
フラミル	Framir Suwen
フレド	Fred Thompson
フレデリカ	Frederica Baumann
自由交易都市群	Free Trade Metropolitan Area
フライバル	Fribal van Astrea
蛙人	Frog Humans
フルフー	Frufoo
フジロウ	Fujirou Tenzen
フスミ	Fusumi
ガバット	Gabbat
ガイラハル温帯	Gairahal Tropics
疾風馬	Galewind Horse
ガナクス	Ganacks
ガオラン	Gaoran Peitiet
ガラガラ砂草原	Garagara Sand Steppe
ギャレク	Garek Thompson
ガーフィール	Garfiel Tinzel
ガリッチ	Garitch Fabless
ガリウ高地	Gariu Heights
ガークラ	Garkla
ガロ	Garo
ガストン	Gaston
ゲート	Gate
ガットネス	Gatness
ガジート	Ghajit
巨人	Giant
ギルダーク	Gildark
ギリアン	Gilian Endymion
ギナ山脈	Gina Mountain Range
ギヌンハイブ	Ginunhive
ジオニス	Gionis Lugunica
グレイシア	Glacia
グララシア	Glarasia
輝石	Glintstone
光人	Glow People
ゴドレート瀑布	Godlait Waterfall
ゴドロフ	Godrov
ゴドウィン	Godwin
ゴールド	Gold
ゴルダリオ	Goldario
金翼党	Golden Wing Faction
福音	Gospel
ゴズ	Goz Ralfon
グレイス	Grace Miload
グラムダート	Gramdart Holstoy
モゴレード大噴口	Grand Mogolade Geyser
グランヒルテ	Granhiert
グラプ	Grapp
グラシス	Grassis Remendis
名もなき王の墓所	Graveyard of Nameless Monarchs
大災厄	Great Calamity
大征伐	Great Conquest
大災	Great Disaster
クーデグラの大飢饉	Great Famine of Cudegra
大粛清	Great Purge
大兎	Great Rabbit
シバレル大氷河	Great Sibarell Glacier
ティグラシー大河	Great Tigracy River
大瀑布	Great Waterfall
大瀑布語	Great Waterfall Language
グリム	Grimm Fauzen
グルービー	Groovy Gumlet
グァラル	Guaral
グッダ	Gudda Dialmo
ギルティウィップ	Guiltywhip
ギナジェリー	Guinagery
ギネブ	Guineb
ガムレット	Gumlet
グスタフ	Gustav Morello
グステコ聖教	Gustekan Church
グウェイン	Gwain Merette
ハ文字	Ha-script
ハガネ	Hagane
ハイネルガ	Hainelga
ハクチュリ	Hakuchuri
ハーフエルフ	Half-Elf
ハリベル	Halibel
ハマヤル	Hamayal Wesmi
ハンナ	Hannah Regret
ハヌマス	Hanumas
ハヤタ	Hayata
ヘイデン	Hayden Garo
天剣	Heavenly Sword
ヘクトール	Hector
ハインケル	Heinkel Astrea
へレイン	Helaine Gatness
ヘルズ・スナイプ	Hell's Snipe
ヘータロー	Hetaro Pearlbaton
ヘティア	Hetia
へクセル	Hexcel
ヒアイン	Hiain Yatz
ビルガ高山脈	High Virga Mountains
ヒルデア	Hildea Featherrun
ホフマン	Hoffman
ホロゥ	Hollow
ホーリィ	Holly Shudrak
ホロッセオ	Holosseo Featherrun
ホルストイ	Holstoy
聖王教会	Holy King Church
グステコ聖王国	Holy Kingdom of Gusteko
聖剣アストレア	Holy Sword Astrea
聖具	Holy Tools
ホーネット	Hornet
ツノナシ	Hornless
ホロホロ砂漠	Horohoro Desert
ホーシン	Hoshin
ホーシン商会	Hoshin Company
荒れ地のホーシン	Hoshin of the Wilderness
アーガイル家	House Argyle
アストレア家	House Astrea
オーレリー家	House Aurélie
バーリエル家	House Barielle
クリオール家	House Creole
ドラクロイ家	House Dracroy
エディッツ家	House Edditz
エルカンティ家	House Elcanti
ゴドウィン家	House Godwin
ゴルダリオ家	House Goldario
ハートリー家	House Hartley
ホフマン家	House Hoffman
インプセン家	House Impusen
ユークリウス家	House Juukulius
カルステン家	House Karsten
メイザース家	House Mathers
ミロード家	House Miload
ペイシット家	House Peitiet
ペンダルトン家	House Pendleton
レメンディス家	House Remendis
トリアス家	House Trias
遠吠え	Howl
ハイアット	Hyatt
ハイクララ高原	Hyclara Plateau
ハイエナ	Hyena
鬣犬人/髭犬人	Hyena Humans
イ文字	I-script
イア	Ia
氷の盗賊団	Ice Thieves
イドラ	Idra Missanga
イグレシア	Iglesia
イゴール	Igor Kenash
イリア	Ilya
帝国軍	Imperial Army
選帝の儀	Imperial Selection Ceremony
インプセン	Impusen
幼児化	Infantilization
インフィニティッド・ヘルズ・スナイプ	Infinite Hell's Snipe
イノランダム	Inorandum
虫籠族	Insect Cage Tribe
虫	Insects
アイリスと茨の王	Iris and the King of Thorns
鉄の牙	Iron Fang
イルルクス	Irulux
イゾルデ	Isolde
巡回聖教師	Itinerant Preachers
イバダ	Ivada
イズメイル	Izmail
ジャマル	Jamal Aurélie
ジョズロ	Jawsrough
ジムラック	Jimrack
ジムナ火炎山	Jimuna Volcano
ジランメ	Jiranme
ジョラー	Jorah Pendleton
ヨーゼフ	Joseph
ヨシュア	Joshua Juukulius
ユリウス	Julius Juukulius
ユークリウス	Juukulius
カドモン	Kadomon Risch
カフマ	Kafma Irulux
カリファ	Kalifa
カラード	Kallard
カララギ都市国家	Kararagi City-States
カルナゴの粉末	Karnago Powder
カルステン	Karsten
カルステン公爵邸	Karsten Ducal Estate
カチュア	Katya Aurélie
ケナシュ	Kenash
ケナシュ領	Kenash Domain
賢一	Kenichi
ケティ	Ketty Muttart
王国墓地	Kingdom Cemetery
キリタカ	Kiritaka Muse
キスダ厶	Kisdam
子猫人	Kitten Humans
クライン	Klein Juukulius
騎士団詰所	Knights’ Garrison
蠱毒	Kodoku
コリーナ	Korrina
ジャリガニ	Krafish
クラウクラウン草原	Kraukraun Grasslands
クルフナ	Krufuna
クーゲルシュライバー城	Kugelschreiber Castle
クーナ	Kuna Shudrak
クナイ	Kunai
クレナイ	Kurenai
クルガン	Kurgan
キョウ	Kyo
ラドリマ	Ladrima
ラグマイト	Lagmite
ラグマイト鉱石	Lagmite Ore
ペネロープ湖	Lake Penelope
ヴィオラーヌ湖水	Lake Violane
ラミア	Lamia Godwin
大犬	Large Canines
ラブリル	Lavril
都市同盟	League of Cities
レイアノット	Leanotte
跳躍者	Leaper
レハレ	Lehare Yvsant
レイラニ	Leilani Alnair
ライプ	Leip Barielle
レモヌ/レモム	Lemom
レノ	Leno Rex
リオナルド	Leonardo Baroness
レプンツォ	Lepunzo
レスリー	Leslie Gabbat
レイテ	Leyte
リブレ	Libre Fermi
リーファウス街道	Lifaus Highway
リーファウス平原	Lifaus Plains
血命の儀	Lifeblood Ritual
ライガー	Liger
光虫	Lightbugs
ライラ	Lilac
リリアナ	Liliana Masquerade
リンバス	Limbus
獅子人	Lion Humans
獅子王	Lion King
リズボン	Lisbon
蜥蜴人	Lizard Humans
ロックハート	Lockhart
ログレス	Logres Hyatt
ロリコン	Lolicon
盗品蔵	Loot House
虹幻公	Lord of Phantasmal Rainbows
ルアンナ	Louanna Astrea
リュカ	Lucas
ルチエレカ	Luchiereka
ルグニカ	Lugunica
ルルララ	Lululala
ルプガナ	Lupugana
ルスベル	Lusbel Kallard
リコリス	Lycoris
ライ	Lye Batenkaitos
リネック	Lynek
リュリーレ	Lyulyre
マカリスタ	Macallister Parkin
マダラ	Madara
マデリン	Madelyn Eschart
マディソン	Madison
魔法	Magic
魔法陣	Magic Circle
魔晶砲	Magic Crystal Cannon
魔手甲	Magic Knuckles
魔弄師	Magic Manus Magister
発魔期	Magic Release Period
魔石砲	Magic Stone Cannon
魔瘴石	Magical Miasma Stones
魔造具	Magicreation Tools
マゴージ	Magoji
マーゴリア高原	Magolia Plateau
マグリッツァ	Magrizza
マグリッツァの断頭台	Magrizza's Guillotine
禍血	Malign Blood
マナ	Mana
マナ体	Mana Body
マナ酔い	Mana Poisoning
マネスク	Manesque
マンフレッド	Manfred Madison
マクウィナ	Maqueena
マーコス	Marcos Gildark
マリウリ	Mariuli Shudrak
マローネ	Marone Lisbon
マルシュバ	Marshba
マスカレード	Masquerade
メイザース	Mathers
マゼラン	Mazeran Suwen
マクマホン	McMahon
メッカート	Meckart Karsten
ミディアム	Medium O'Connell
メイガン	Megan
メィリィ	Meili Portroute
メイーナ	Meina
メラハウ	Melahau
メラクェラ	Melakuera
メラン	Melan
メリンダ	Melinda
メリオ	Melio
メルティ	Melty Pristis
メレテー	Merette
ミーティア	Meteors
メトレイ	Metley
メイエル	Meyer
メゾレイア	Mezoreia
瘴気	Miasma
ミクリ	Mikli Yulitô
マイクロトフ	Miklotov McMahon
ミルド	Mild
ミルデ	Milde Arlam
マイルズ	Miles
ミリージア	Milizia
ミルク	Milk
ミルグレー	Millgray
ミロード	Miload
ミミ	Mimi Pearlbaton
ミモザ	Mimosa
ミネルヴァ	Minerva
アベルクスの奇跡	Miracle of Abellux
ミレイユ	Mireille Hetia
ミルーラ	Mirula
ミシグレ	Mishigure
ミサンガ	Missanga
ミゼルダ	Mizelda Shudrak
穏健派	Moderate Faction
モグロ	Moguro Hagane
土鼠人	Mole Humans
月祝祭	Monthly Festival
モレロ	Morello
モーニングスター	Morningstar
コルドロ山	Mount Cordor
ギルドレイ山	Mount Gildray
パルゾア山	Mount Palzoa
モゾリテ	Mozolite
モーゾット	Mozotto
多腕族	Multi-Arm Tribe
多脚族	Multi-Leg Tribe
ミューズ	Muse
ミューズ商会	Muse Company
ムジカ	Musica
ムスクリム	Muskrim
ムスペル	Muspel
ムッタート	Muttart
ミョンミョン	Myonmyon
ナナンナ	Nananna Pezza
ナンオウ	Nanou
菜穂子	Naoko
菜月	Natsuki
ナツキ	Natsuki
死魂花	Necrosoul Flowers
ネイジ	Neiji Lockhart
土蛇の巣	Nest of the Earth Serpent
ニコ	Nico Olsen
夜払い	Night Banisher
夜泣き	Night Weeping
ニコラ	Nikola Suwen
ノエル	Noelle Tuérico
能	Noh
ノーラ	Nora
ヌル	Null
オコーネル	O'Connell
誓約	Oath
観覧者	Observers
オド	Od
オド・ラグナ	Od Lagna
オドグラス	Odglass
オル・シャマク	Ol Shamak
オルバルト	Olbart Dunkelkenn
オリバー	Oliver Zeppes
オールセン	Olsen
オメガ	Omega
鬼族	Oni Tribe
オニバミ	Onibami
オプレーン	Oplane
オレージ	Orage
オルコス	Orcos
オルコス領	Orcos Domain
オルゴ	Orgo Hayata
オルニア	Ornea Featherrun
オルフェ	Orphe
オスロー	Oslo Suwen
オスマン	Osman
オットー	Otto Suwen
オウルーゾ	Oulouzo Tarask
オウトウ	Outou
パラディオ	Palladio Manesque
拳王の掌	Palm of the Fist King
パルミラ	Palmyra
パンドラ	Pandora
パッペルト	Pappelt
パーキン	Parkin
パトラッシュ	Patrasche
ペア	Peah
パールバトン	Pearlbaton
ペイシット	Peitiet
ペンダルトン	Pendleton
シュドラクの民	People of Shudrak
ペッパ	Peppa
ピーマル	Peppir
エリオール大森林の永久凍土	Permafrost of the Great Elior Forest
ペテルギウス	Petelgeuse Romanée-Conti
ペトラ	Petra Leyte
ペッツァ	Pezza
幻狼	Phantom Wolf
ピジ	Piche
ピックタット	Picoutatte
豚人	Pig Humans
ピボット	Pivot Arnancy
プレアデス戦団	Pleiades Battalion
プレアデス監視塔	Pleiades Watchtower
プラム	Plum Risch
ポドソ	Podoso
ポワッゾ	Poiison
毒手	Poison Hand
プーカ	Pooka
ポートルート	Portroute
芋	Potato
プリステラ	Priestella
プリシラ	Priscilla Barielle
プリシラ陣営	Priscilla Camp
監獄塔	Prison Tower
プリスティス	Pristis
疑似的なゲート	Pseudo-Gate
疑似的なオド	Pseudo-Od
パック	Puck
子犬人	Puppy Humans
クオーク	Quark
クウェイル	Quayle
兎人	Rabbit Humans
ラチンス	Rachins Hoffman
過激派	Radical Faction
ラグディッシュ	Radsh
ラフィール	Rafiel Thompson
ライゾー	Raizo
ラクシャ	Raksha Risch
ラルフォン	Ralfon
ラム	Ram
ランドハル	Randohal Lugunica
稀血	Rare Blood
ラスフム	Rasphum
ラウレオン	Rauleon
レイファスト	Rayfast
ラザック	Razak Gildark
ラズクルー	Razcrew
リアラ	Reala Thompson
死神災害	Reaper Disaster
オルコス領の赤雪	Red Snowfall on the Orcos Domain
レドナス台地	Redonas Plateau
レギン	Regin Suwen
リグレット	Regret
レグルス	Regulus Corneas
レグンドラ	Regundra
レイド	Reid Astrea
ライナー	Reiner Wahrheit
ラインハルト法	Reinhard Law
ラインハルト	Reinhard van Astrea
ライゼル	Reisel
レーゼ	Reize
レム	Rem
レメンディス	Remendis
レックス	Rex
リボーン	Riboon
リカード	Ricardo Welkin
リッケルト	Rickert Hoffman
リフテン	Riften Magoji
リゲル	Rigel
リンプルトン	Rimpleton
リッシュ	Risch
リーシア	Rishia Tinzel
ロ文字	Ro-script
ロドリゲス	Rodriguez
ログン	Rogen
ロム	Rom
ロマネコンティ	Romanée-Conti
ロマネコンティ一族	Romanée-Conti Family
ロミー	Romy
ロザリンド	Rosalind Vollachia
ローシ	Roshi Pearlbaton
ロズワール邸	Roswaal Manor
ロズワール	Roswaal Mathers
ロウアン	Rowan Segmunt
ロイ	Roy Alphard
王族誘拐事件	Royal Abduction Incident
王国軍	Royal Army
ルグニカ王城	Royal Lugunica Castle
王立魔法研究所	Royal Magic Research Institute
王選	Royal Selection
王立治療院	Royal Treatment Center
ルダール	Rudar Iglesia
ルイ	Rui Arneb
ラッセル	Russell Fellow
リョクチャ	Ryokucha
リューシカ商工会	Ryushika Commerce Association
リューズ	Ryuzu Meyer
不死王の秘蹟	Sacrament of the Immortal King
カナイ霊山	Sacred Mountain Kanai
霊峰パルドキア	Sacred Mountain Pardochia
神聖ヴォラキア帝国	Sacred Vollachia Empire
サド	Sado
守護室	Safeguarding Chamber
サーフィス	Safis
賢者	Sage
釵	Sai
聖女	Saintess
聖女連	Saintess Sect
千面聖女	Saintess of a Thousand Visages
サクラ	Sakura Element
サルム	Salum Pristis
サン・ファントラス	San Fantrus
神域	Sanctum
サリア	Saria Featherrun
サテラ	Satella
死肉漁り	Scavengers
シュルト	Schult Barielle
銀の爪痕	Scratch of Silver
季節	Seasons
第二次銀華乱舞	Second Silver Flower Dance
セグムント	Segmunt
セクメト	Sekhmet
セリーナ	Serena Dracroy
セルゲイ	Sergei
双剣の蛇	Serpent of the Twin Swords
セタンタ	Setanta
シャクナール	Shaknar
シャムロック渓谷	Shamrock Valley
シャスケ	Shasuke
シャトランジ	Shatranj
シャッツボート	Shatzbort
シャウラ	Shaula
シノビ	Shinobi
シノビの術技	Shinobi Techniques
シノビの里	Shinobi Village
シオン	Shion
シロロ	Shiroro Tonerico
ショーティ	Shorty Megan
シュドラク	Shudrak
シリウス	Sirius Romanée-Conti
シトニア	Sithonia Featherrun
六枚舌	Six Tongues
眠り姫	Sleeping Beauty
眠り花	Sleeping Flower
蛇人	Snake Humans
雪喰	Snow Vallum
ソワリエ	Soirie
ソルテ	Solt
魂	Soul
魂婚術	Soul Marriage Technique
魂の転写	Soul Transcription
スパルカ	Sparka
スピンクス	Sphinx
スピンクスの実験場	Sphinx's Testing Grounds
スピカ	Spica
シュピーゲル	Spiegel
精霊	Spirit
精霊喰らい	Spirit Eating
精霊術	Spiritual Arts
精霊術師	Spiritual Arts User
星詠み	Stargazer
星	Stars
鋼糸術	Steel Thread Technique
鋼人	Steelfolk
ストライド一派	Stride Faction
ストライド	Stride Vollachia
スロベリ	Strowberry
スバル	Subaru
スバル語	Subaruspeak
邪龍討滅戦	Subjugation of the Blight Dragon
スーウェン	Suwen
スーウェン商会	Suwen Company
剣鬼恋歌	Sword Demon Love Song
剣聖	Sword Saint
シルフォア	Sylphoa
シルフィ	Sylphy Elmart
タンムズ	Tammuz
狸人	Tanuki Humans
タンザ	Tanza
タラスク	Tarask
タルコ	Tarco Ulrat
タリッタ	Taritta Shudrak
タチアナ	Tatiana
テクラン峡谷	Tekran Ravine
テマエ	Temae
テメグリフ	Temeglyph
神殿騎士	Temple Knights
テンミツ	Tenmitsu
テンリル川	Tenrill River
テンゼン	Tenzen
テリオラ	Terriola Goldario
ティセラ	Tesera
テムズ	Thames Astrea
天秤	The Balance
三巨頭	The Big Three
ヴォラキアの青い雷光	The Blue Lightning of Vollachia
同胞団	The Brotherhood
真紅戦線	The Crimson Front
天地赤日	The Day of Red Earth and Sky
剣の丘の英傑像	The Figure of the Sword Hill's Hero
第一の試練	The First Trial
ギラル赤丘	The Girall Crimson Dunes
黄金虫	The Golden Beetle
大神殿	The Great Temple
レイド・アストレア列伝	The Legend of Reid Astrea
クレマルディ	The Lost Forest of Kremaldy
ティレオスの薔薇騎士	The Rose Knight of Tieros
第二の試練	The Second Trial
ピックタットの銀華乱舞	The Silver Flower Dance of Picoutatte
剣聖と雷光の銀華乱舞	The Silver Flower Dance of the Sword Saint and the Lightning
朝焼けを追い越す空	The Sky Overtaking the Morning Glow
孤独の王様	The Solitude King
怠惰の討伐	The Subjugation of Sloth
白鯨討伐	The Subjugation of the White Whale
第三の試練	The Third Trial
嫉妬の魔女	The Witch of Envy
テレシア	Theresia van Astrea
トルタ	Tholter Weasily
トンプソン	Thompson
三英傑	Three Great Heroes
雷狼	Thunder Wolf
ティーガ	Tiga Rauleon
虎人	Tiger Humans
刻限塔	Time Tower
ティーナ	Tina
ティンゼル	Tinzel
ティリエナ	Tiriena
ティシュア	Tishua Astrea
ティビー	Tivey Pearlbaton
トッド	Todd Fang
トリド	Toledo Spiegel
トメト	Tometo
トネリコ	Tonerico
トルネル	Tornel
トスカ	Toska Astrea
トト	Toto
トレロコ	Trellock
試練	Trials of the Tomb
トラサルディ	Trussardi
トゥエリコ	Tuérico
逢魔術師	Twilight Mage
双剣トリアス	Twin Swords Trias
テュフォン	Typhon
ウビルク	Ubilk
ウブズス	Ubzus
ウルラート	Ulrat
絶掌	Ultimate Palm
屍人	Undead
ウルハ人	Uruha People
ウタカタ	Utakata Shudrak
ヴェイグ	Vague Adgard
バルガ	Valga Cromwell
バルグレン	Valgren
勇者	Valiant
ヴァルノー	Valneau
吸血鬼	Vampire
エーデル大雪原	Vast Eder Snowfield
秘蹟保管庫	Vault of Sacraments
ベルトール	Veltol Astrea
器	Vessel
ヴィクター	Viktor Orcos
ヴィンセント	Vincent Vollachia
ビネギー	Vinegee
ヴィヴァ	Viva
ボルカニカ	Volcanica
ヴォルカス	Volcas
ヴォラキア	Vollachia
ヴァールハイト	Wahrheit
魔人	Warlocks
警戒石	Warning Stone
ウォーウォー	Warwar
水竜	Water Dragon
刃金人	Weaponkin
ウィズリー	Weasily
ヴァイツ	Weitz Rogen
ウェルキン	Welkin
人狼	Werewolf
ウエズミ	Wesmi
西方辺境伯領会合	Western Margrave Domain Meeting
ウィテカー	Whitaker Goldario
白竜の鱗	White Dragon's Scales
白羊	White Sheep
白鯨	White Whale
ヴィルヘルム	Wilhelm van Astrea
翼人	Winged People
魔女教	Witch Cult
魔女因子	Witch Factor
魔女狩り	Witch Hunts
魔女裁判	Witch Trials
魔女の残り香	Witch's Lingering Scent
魔女の香り	Witch's Scent
魔獣	Witchbeast
魔女	Witches
大罪魔女	Witches of Sin
ウォルフ	Wolf
狼人	Wolf Humans
ヤエ	Yae Tenzen
ヤクトル	Yaktol Suwen
ヤッツ	Yatz
ヨルナ	Yorna Mishigure
ユリトー	Yulitô
イヴサント	Yvsant
ザビーネル	Zabinel Lugunica
ザンク	Zank Metley
ザーレスティア	Zarestia
ザーレスティアの寝床	Zarestia's Bed
ゼルガ	Zelga Iglesia
ゼッペス	Zeppes
ツェルゲフ	Zergev
ツェルゲフ隊	Zergev Squadron
ゼスペルガ	Zesperga
ズィクル	Zikr Osman
ゾッダ虫	Zodda Bug
ゾーイ	Zoey
血斧	blood hatchet
屍兵	corpse soldiers
呪術	curse arts
呪術師	curse arts users
竜	dragons
四つの災い	four disasters
蒸かし芋	steamed potatoes
ウルフィン族	wolfin tribe
ゾンビ	zombies
